2-theta,Intensity
5.0,34.0
5.01,26.0
5.02,30.0
5.03,25.0
5.04,34.0
5.05,33.0
5.06,23.0
5.07,39.0
5.08,27.0
5.09,23.0
5.1,24.0
5.11,32.0
5.12,32.0
5.13,22.0
5.14,27.0
5.15,24.0
5.16,24.0
5.17,27.0
5.18,31.0
5.19,23.0
5.2,37.0
5.21,37.0
5.22,25.0
5.23,28.0
5.24,26.0
5.25,27.0
5.26,16.0
5.27,28.0
5.28,29.0
5.29,20.0
5.3,20.0
5.31,29.0
5.32,28.0
5.33,27.0
5.34,31.0
5.35,28.0
5.36,29.0
5.37,29.0
5.38,31.0
5.39,24.0
5.4,30.0
5.41,38.0
5.42,24.0
5.43,25.0
5.44,38.0
5.45,39.0
5.46,25.0
5.47,24.0
5.48,27.0
5.49,29.0
5.5,33.0
5.51,18.0
5.52,26.0
5.53,18.0
5.54,20.0
5.55,31.0
5.56,27.0
5.57,35.0
5.58,33.0
5.59,25.0
5.6,32.0
5.61,29.0
5.62,23.0
5.63,33.0
5.64,27.0
5.65,25.0
5.66,22.0
5.67,21.0
5.68,40.0
5.69,30.0
5.7,27.0
5.71,25.0
5.72,32.0
5.73,24.0
5.74,23.0
5.75,24.0
5.76,20.0
5.77,28.0
5.78,29.0
5.79,21.0
5.8,32.0
5.81,25.0
5.82,19.0
5.83,33.0
5.84,35.0
5.85,28.0
5.86,15.0
5.87,15.0
5.88,22.0
5.89,22.0
5.9,27.0
5.91,23.0
5.92,21.0
5.93,32.0
5.94,25.0
5.95,31.0
5.96,19.0
5.97,32.0
5.98,32.0
5.99,27.0
6.0,17.0
6.01,26.0
6.02,26.0
6.03,29.0
6.04,29.0
6.05,22.0
6.06,17.0
6.07,21.0
6.08,25.0
6.09,28.0
6.1,22.0
6.11,30.0
6.12,23.0
6.13,25.0
6.14,17.0
6.15,24.0
6.16,20.0
6.17,21.0
6.18,25.0
6.19,27.0
6.2,22.0
6.21,25.0
6.22,26.0
6.23,26.0
6.24,20.0
6.25,20.0
6.26,22.0
6.27,26.0
6.28,27.0
6.29,18.0
6.3,19.0
6.31,21.0
6.32,21.0
6.33,19.0
6.34,15.0
6.35,20.0
6.36,26.0
6.37,25.0
6.38,32.0
6.39,14.0
6.4,25.0
6.41,15.0
6.42,23.0
6.43,17.0
6.44,16.0
6.45,18.0
6.46,28.0
6.47,18.0
6.48,21.0
6.49,12.0
6.5,26.0
6.51,16.0
6.52,19.0
6.53,20.0
6.54,18.0
6.55,18.0
6.56,21.0
6.57,16.0
6.58,19.0
6.59,20.0
6.6,20.0
6.61,12.0
6.62,21.0
6.63,18.0
6.64,15.0
6.65,20.0
6.66,18.0
6.67,18.0
6.68,18.0
6.69,16.0
6.7,14.0
6.71,7.0
6.72,19.0
6.73,19.0
6.74,23.0
6.75,17.0
6.76,7.0
6.77,17.0
6.78,25.0
6.79,14.0
6.8,10.0
6.81,19.0
6.82,19.0
6.83,21.0
6.84,20.0
6.85,16.0
6.86,21.0
6.87,19.0
6.88,12.0
6.89,17.0
6.9,11.0
6.91,14.0
6.92,14.0
6.93,15.0
6.94,18.0
6.95,21.0
6.96,24.0
6.97,16.0
6.98,21.0
6.99,22.0
7.0,15.0
7.01,20.0
7.02,15.0
7.03,20.0
7.04,16.0
7.05,14.0
7.06,10.0
7.07,19.0
7.08,14.0
7.09,13.0
7.1,12.0
7.11,13.0
7.12,13.0
7.13,13.0
7.14,24.0
7.15,18.0
7.16,11.0
7.17,21.0
7.18,9.0
7.19,12.0
7.2,16.0
7.21,18.0
7.22,10.0
7.23,16.0
7.24,16.0
7.25,8.0
7.26,18.0
7.27,12.0
7.28,12.0
7.29,11.0
7.3,24.0
7.31,21.0
7.32,19.0
7.33,10.0
7.34,19.0
7.35,16.0
7.36,21.0
7.37,12.0
7.38,15.0
7.39,12.0
7.4,21.0
7.41,11.0
7.42,20.0
7.43,12.0
7.44,20.0
7.45,17.0
7.46,13.0
7.47,16.0
7.48,14.0
7.49,15.0
7.5,12.0
7.51,21.0
7.52,17.0
7.53,11.0
7.54,14.0
7.55,14.0
7.56,18.0
7.57,13.0
7.58,9.0
7.59,26.0
7.6,17.0
7.61,13.0
7.62,18.0
7.63,15.0
7.64,17.0
7.65,12.0
7.66,12.0
7.67,13.0
7.68,15.0
7.69,11.0
7.7,18.0
7.71,15.0
7.72,11.0
7.73,18.0
7.74,14.0
7.75,17.0
7.76,15.0
7.77,10.0
7.78,18.0
7.79,13.0
7.8,18.0
7.81,23.0
7.82,11.0
7.83,12.0
7.84,22.0
7.85,16.0
7.86,15.0
7.87,6.0
7.88,15.0
7.89,10.0
7.9,15.0
7.91,15.0
7.92,14.0
7.93,11.0
7.94,16.0
7.95,18.0
7.96,16.0
7.97,18.0
7.98,14.0
7.99,14.0
8.0,19.0
8.01,13.0
8.02,7.0
8.03,19.0
8.04,19.0
8.05,14.0
8.06,13.0
8.07,19.0
8.08,11.0
8.09,16.0
8.1,18.0
8.11,16.0
8.12,14.0
8.13,12.0
8.14,14.0
8.15,17.0
8.16,16.0
8.17,11.0
8.18,14.0
8.19,8.0
8.2,15.0
8.21,8.0
8.22,7.0
8.23,14.0
8.24,10.0
8.25,13.0
8.26,14.0
8.27,11.0
8.28,12.0
8.29,10.0
8.3,12.0
8.31,14.0
8.32,12.0
8.33,13.0
8.34,16.0
8.35,19.0
8.36,12.0
8.37,15.0
8.38,7.0
8.39,6.0
8.4,11.0
8.41,14.0
8.42,9.0
8.43,14.0
8.44,9.0
8.45,9.0
8.46,15.0
8.47,8.0
8.48,10.0
8.49,15.0
8.5,22.0
8.51,12.0
8.52,10.0
8.53,13.0
8.54,10.0
8.55,4.0
8.56,10.0
8.57,7.0
8.58,14.0
8.59,8.0
8.6,9.0
8.61,16.0
8.62,10.0
8.63,21.0
8.64,6.0
8.65,12.0
8.66,8.0
8.67,11.0
8.68,10.0
8.69,13.0
8.7,10.0
8.71,10.0
8.72,7.0
8.73,12.0
8.74,13.0
8.75,9.0
8.76,9.0
8.77,16.0
8.78,7.0
8.79,9.0
8.8,12.0
8.81,8.0
8.82,9.0
8.83,19.0
8.84,11.0
8.85,16.0
8.86,15.0
8.87,7.0
8.88,8.0
8.89,10.0
8.9,15.0
8.91,9.0
8.92,6.0
8.93,21.0
8.94,11.0
8.95,17.0
8.96,4.0
8.97,8.0
8.98,12.0
8.99,11.0
9.0,8.0
9.01,13.0
9.02,16.0
9.03,6.0
9.04,17.0
9.05,4.0
9.06,8.0
9.07,5.0
9.08,9.0
9.09,10.0
9.1,14.0
9.11,8.0
9.12,13.0
9.13,5.0
9.14,17.0
9.15,16.0
9.16,7.0
9.17,11.0
9.18,10.0
9.19,11.0
9.2,11.0
9.21,12.0
9.22,14.0
9.23,14.0
9.24,13.0
9.25,11.0
9.26,7.0
9.27,8.0
9.28,14.0
9.29,12.0
9.3,9.0
9.31,16.0
9.32,8.0
9.33,8.0
9.34,9.0
9.35,14.0
9.36,8.0
9.37,13.0
9.38,11.0
9.39,20.0
9.4,8.0
9.41,10.0
9.42,9.0
9.43,12.0
9.44,23.0
9.45,6.0
9.46,10.0
9.47,9.0
9.48,18.0
9.49,9.0
9.5,9.0
9.51,5.0
9.52,13.0
9.53,9.0
9.54,16.0
9.55,20.0
9.56,16.0
9.57,8.0
9.58,4.0
9.59,10.0
9.6,17.0
9.61,10.0
9.62,12.0
9.63,13.0
9.64,17.0
9.65,12.0
9.66,10.0
9.67,11.0
9.68,12.0
9.69,7.0
9.7,7.0
9.71,11.0
9.72,12.0
9.73,15.0
9.74,13.0
9.75,11.0
9.76,7.0
9.77,6.0
9.78,12.0
9.79,13.0
9.8,9.0
9.81,10.0
9.82,7.0
9.83,12.0
9.84,16.0
9.85,15.0
9.86,13.0
9.87,13.0
9.88,16.0
9.89,16.0
9.9,12.0
9.91,11.0
9.92,15.0
9.93,14.0
9.94,9.0
9.95,12.0
9.96,12.0
9.97,15.0
9.98,11.0
9.99,14.0
10.0,9.0
10.01,10.0
10.02,11.0
10.03,13.0
10.04,12.0
10.05,15.0
10.06,13.0
10.07,14.0
10.08,16.0
10.09,13.0
10.1,11.0
10.11,11.0
10.12,11.0
10.13,18.0
10.14,19.0
10.15,10.0
10.16,14.0
10.17,10.0
10.18,11.0
10.19,9.0
10.2,12.0
10.21,8.0
10.22,15.0
10.23,11.0
10.24,12.0
