2-theta,Intensity
1.00000,0.00000
1.01000,0.13409
1.02000,0.13156
1.03000,0.12910
1.04000,0.12671
1.05000,0.12438
1.06000,0.12213
1.07000,0.11993
1.08000,0.11779
1.09000,0.11571
1.10000,0.11369
1.11000,0.11172
1.12000,0.10981
1.13000,0.10794
1.14000,0.10612
1.15000,0.10435
1.16000,0.10262
1.17000,0.10094
1.18000,0.09930
1.19000,0.09770
1.20000,0.09614
1.21000,0.09462
1.22000,0.09313
1.23000,0.09168
1.24000,0.09026
1.25000,0.08888
1.26000,0.08753
1.27000,0.08621
1.28000,0.08493
1.29000,0.08367
1.30000,0.08244
1.31000,0.08124
1.32000,0.08006
1.33000,0.07891
1.34000,0.07779
1.35000,0.07669
1.36000,0.07561
1.37000,0.07456
1.38000,0.07353
1.39000,0.07252
1.40000,0.07154
1.41000,0.07057
1.42000,0.06962
1.43000,0.06870
1.44000,0.06779
1.45000,0.06690
1.46000,0.06603
1.47000,0.06518
1.48000,0.06434
1.49000,0.06352
1.50000,0.06271
1.51000,0.06193
1.52000,0.06115
1.53000,0.06040
1.54000,0.05965
1.55000,0.05892
1.56000,0.05821
1.57000,0.05750
1.58000,0.05682
1.59000,0.05614
1.60000,0.05548
1.61000,0.05482
1.62000,0.05418
1.63000,0.05356
1.64000,0.05294
1.65000,0.05233
1.66000,0.05174
1.67000,0.05115
1.68000,0.05058
1.69000,0.05001
1.70000,0.04946
1.71000,0.04891
1.72000,0.04838
1.73000,0.04785
1.74000,0.04733
1.75000,0.04682
1.76000,0.04632
1.77000,0.04583
1.78000,0.04535
1.79000,0.04487
1.80000,0.04440
1.81000,0.04394
1.82000,0.04349
1.83000,0.04304
1.84000,0.04260
1.85000,0.04217
1.86000,0.04175
1.87000,0.04133
1.88000,0.04091
1.89000,0.04051
1.90000,0.04011
1.91000,0.03972
1.92000,0.03933
1.93000,0.03895
1.94000,0.03857
1.95000,0.03820
1.96000,0.03784
1.97000,0.03748
1.98000,0.03713
1.99000,0.03678
2.00000,0.03644
2.01000,0.03610
2.02000,0.03576
2.03000,0.03544
2.04000,0.03511
2.05000,0.03479
